minimum_age,maximum_age,gender,population,zipcode,geo_id
10,14,female,75,39769,8600000US39769
85,,female,130,44047,8600000US44047
30,34,female,11,42436,8600000US42436
22,24,male,22,99685,8600000US99685
67,69,male,69,04239,8600000US04239
50,54,male,67,05075,8600000US05075
65,66,male,62,08322,8600000US08322
85,,male,42,54768,8600000US54768
15,17,female,20,04783,8600000US04783
85,,male,85,73501,8600000US73501
15,17,male,13,68858,8600000US68858
70,74,male,119,57703,8600000US57703
80,84,male,192,06067,8600000US06067
30,34,male,766,33952,8600000US33952
75,79,female,2,49027,8600000US49027
67,69,female,240,31501,8600000US31501
0,4,female,7,67454,8600000US67454
40,44,female,143,16143,8600000US16143
30,34,male,1292,07017,8600000US07017
70,74,male,259,85013,8600000US85013
20,20,female,115,48838,8600000US48838
75,79,female,2,50165,8600000US50165
18,19,female,53,60554,8600000US60554
67,69,male,1,45353,8600000US45353
80,84,male,18,17090,8600000US17090
45,49,male,76,49616,8600000US49616
,,,19607,06820,8600000US06820
25,29,female,7,86024,8600000US86024
45,49,male,72,05251,8600000US05251
22,24,female,41,33913,8600000US33913
20,20,female,5,42566,8600000US42566
70,74,female,220,28612,8600000US28612
0,4,male,449,12589,8600000US12589
45,49,female,158,72631,8600000US72631
75,79,female,7,62572,8600000US62572
10,14,male,1040,60423,8600000US60423
25,29,female,6,40801,8600000US40801
10,14,male,170,45050,8600000US45050
20,20,female,3,75480,8600000US75480
30,34,male,930,28405,8600000US28405
20,20,female,7,36006,8600000US36006
30,34,female,14,79719,8600000US79719
,,female,298,21405,8600000US21405
15,17,female,239,01938,8600000US01938
60,61,male,8,25902,8600000US25902
67,69,female,45,87008,8600000US87008
18,19,female,10,39348,8600000US39348
65,66,male,227,34691,8600000US34691
,,female,50,83354,8600000US83354
85,,male,1,50654,8600000US50654
75,79,male,940,34698,8600000US34698
40,44,male,19,65614,8600000US65614
62,64,male,188,77095,8600000US77095
45,49,female,14,58520,8600000US58520
45,49,male,6,50052,8600000US50052
30,34,male,8,43126,8600000US43126
5,9,female,2343,30032,8600000US30032
60,61,male,7,60935,8600000US60935
15,17,female,94,01010,8600000US01010
21,21,male,246,01040,8600000US01040
5,9,female,965,68164,8600000US68164
,,,42356,28269,8600000US28269
45,49,male,105,12966,8600000US12966
25,29,male,81,24946,8600000US24946
0,4,female,5,96125,8600000US96125
80,84,male,2,70585,8600000US70585
5,9,female,100,43314,8600000US43314
67,69,female,5,73092,8600000US73092
,,male,1522,37847,8600000US37847
5,9,male,1246,11040,8600000US11040
45,49,female,23,16854,8600000US16854
20,20,male,31,45383,8600000US45383
55,59,male,207,97232,8600000US97232
,,female,5463,81052,8600000US81052
35,39,male,111,65679,8600000US65679
80,84,male,0,36115,8600000US36115
55,59,male,10,56455,8600000US56455
40,44,female,423,78163,8600000US78163
18,19,female,447,62234,8600000US62234
67,69,female,662,32127,8600000US32127
65,66,female,25,04609,8600000US04609
30,34,male,29,18030,8600000US18030
60,61,female,520,95076,8600000US95076
75,79,female,91,83805,8600000US83805
62,64,female,21,29843,8600000US29843
40,44,female,209,46106,8600000US46106
50,54,male,90,97049,8600000US97049
80,84,male,263,95616,8600000US95616
40,44,male,1,88003,8600000US88003
25,29,female,822,65536,8600000US65536
70,74,female,5,99563,8600000US99563
10,14,female,6,87517,8600000US87517
15,17,male,74,16115,8600000US16115
85,,female,3,12743,8600000US12743
22,24,female,637,89106,8600000US89106
75,79,female,9,26167,8600000US26167
21,21,male,152,29579,8600000US29579
15,17,male,93,49088,8600000US49088
,,male,18231,85251,8600000US85251